Course Title,Course Rating,Course Enrollment,Course URL
The Science of Well-Being,4.9,2m,/learn/the-science-of-well-being
IBM Data Science,4.6,410k,/professional-certificates/ibm-data-science
Introduction to Data Science,4.6,260k,/specializations/introduction-data-science
N / A,N / A,N / A,N / A
Google IT Support,4.8,290k,/professional-certificates/google-it-support
Python for Everybody,4.8,1.2m,/specializations/python
Deep Learning,4.8,610k,/specializations/deep-learning
N / A,N / A,N / A,N / A
Machine Learning,4.9,3m,/learn/machine-learning
Business Foundations,4.7,480k,/specializations/wharton-business-foundations
Applied Data Science,4.6,190k,/specializations/applied-data-science
TensorFlow in Practice,4.7,150k,/specializations/tensorflow-in-practice
IBM Applied AI,4.6,180k,/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
Data Science,4.5,780k,/specializations/jhu-data-science
Financial Markets,4.8,330k,/learn/financial-markets-global
Data Science: Foundations using R,4.5,690k,/specializations/data-science-foundations-r
Epidemiology in Public Health Practice,4.7,25k,/specializations/professional-epidemiology
Finance & Quantitative Modeling for Analysts,4.5,250k,/specializations/finance-quantitative-modeling-analysts
Excel Skills for Business,4.9,170k,/specializations/excel
Google IT Automation with Python,4.7,52k,/professional-certificates/google-it-automation
Business Analytics,4.6,270k,/specializations/business-analytics
Applied Data Science with Python,4.5,420k,/specializations/data-science-python
Business and Financial Modeling,4.5,150k,/specializations/wharton-business-financial-modeling
Cloud Architecture with Google Cloud,4.7,260k,/professional-certificates/gcp-cloud-architect
Entrepreneurship,4.8,100k,/specializations/wharton-entrepreneurship
IBM AI Engineering,4.7,110k,/professional-certificates/ai-engineer
Introduction to Psychology,4.9,170k,/learn/introduction-psychology
Architecting with Google Compute Engine,4.7,260k,/specializations/gcp-architecture
Cloud Engineering with Google Cloud,4.7,260k,/professional-certificates/cloud-engineering-gcp
Graphic Design,4.7,290k,/specializations/graphic-design
Digital Marketing,4.6,340k,/specializations/digital-marketing
Foundations of Positive Psychology,4.8,80k,/specializations/positivepsychology
Python 3 Programming,4.7,86k,/specializations/python-3-programming
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.8,200k,/learn/negotiation
Primeros Auxilios Psicológicos (PAP),4.8,240k,/learn/pap
Project Management Principles and Practices,4.7,200k,/specializations/project-management
Project Management & Other Tools for Career Development,4.6,410k,/specializations/project-management-success
Technical Support Fundamentals,4.8,220k,/learn/technical-support-fundamentals
Viral Marketing and How to Craft Contagious Content,4.7,130k,/learn/wharton-contagious-viral-marketing
Architecting with Google Kubernetes Engine,4.7,250k,/specializations/architecting-google-kubernetes-engine
Psychological First Aid,4.8,140k,/learn/psychological-first-aid
Developing Applications with Google Cloud Platform,4.7,250k,/specializations/developing-apps-gcp
Achieving Personal and Professional Success,4.7,90k,/specializations/wharton-success
Data Engineering with Google Cloud,4.6,110k,/professional-certificates/gcp-data-engineering
Excel to MySQL: Analytic Techniques for Business,4.6,460k,/specializations/excel-mysql
Improve Your English Communication Skills,4.7,510k,/specializations/improve-english
Security in Google Cloud Platform,4.7,250k,/specializations/security-google-cloud-platform
"Data Engineering, Big Data, and Machine Learning on GCP",4.6,100k,/specializations/gcp-data-machine-learning
Networking in Google Cloud,4.7,250k,/specializations/networking-google-cloud-platform
Data Analysis and Presentation Skills: the PwC Approach,4.6,200k,/specializations/pwc-analytics
Construction Management,4.7,54k,/specializations/construction-management
Successful Negotiation: Essential Strategies and Skills,4.8,660k,/learn/negotiation-skills
Programming for Everybody (Getting Started with Python),4.8,1.1m,/learn/python
Java Programming and Software Engineering Fundamentals,4.6,340k,/specializations/java-programming
AI For Everyone,4.8,260k,/learn/ai-for-everyone
Career Success,4.4,750k,/specializations/career-success
UI / UX Design,4.8,53k,/specializations/ui-ux-design
Mathematics for Machine Learning,4.6,130k,/specializations/mathematics-machine-learning
Software Product Management,4.6,110k,/specializations/product-management
Digital Transformation,4.8,54k,/learn/bcg-uva-darden-digital-transformation
Web Design for Everybody: Basics of Web Development & Coding,4.7,230k,/specializations/web-design
Arizona State University TESOL,4.9,140k,/professional-certificates/arizona-state-university-tesol
AI Foundations for Everyone,4.7,49k,/specializations/ai-foundations-for-everyone
UCI Project Management,4.6,N / A,/professional-certificate/applied-project-management
Genomic Data Science,4.4,75k,/specializations/genomic-data-science
Reinforcement Learning,4.7,19k,/specializations/reinforcement-learning
Neural Networks and Deep Learning,4.9,550k,/learn/neural-networks-deep-learning
Data Visualization with Tableau,4.5,86k,/specializations/data-visualization
Human Resource Management: HR for People Managers,4.7,84k,/specializations/human-resource-management
Become a CBRS Certified Professional Installer by Google,4.9,N / A,/learn/google-cbrs-cpi-training
Search Engine Optimization (SEO),4.6,100k,/specializations/seo
The Business of Health Care,4.6,18k,/specializations/healthcare-administration-management
Social Media Marketing,4.6,120k,/specializations/social-media-marketing
Learn SQL Basics for Data Science,4.6,140k,/specializations/learn-sql-basics-data-science
Supply Chain Management,4.7,67k,/specializations/supply-chain-management
Neurolinguistics,N / A,33k,/learn/neuroling
Academic English: Writing,4.7,490k,/specializations/academic-english
Management of Fashion and Luxury Companies,4.7,110k,/learn/mafash
What is Data Science?,4.7,220k,/learn/what-is-datascience
"TESOL Certificate, Part 1: Teach English Now!",4.9,100k,/specializations/tesol
Fintech: Foundations & Applications of Financial Technology,4.6,16k,/specializations/wharton-fintech
Creative Writing,4.6,130k,/specializations/creative-writing
Algorithms,4.8,140k,/specializations/algorithms
Stanford Introduction to Food and Health,4.7,320k,/learn/food-and-health
Fundamentals of Project Planning and Management,4.7,110k,/learn/uva-darden-project-management
Leading People and Teams,4.7,200k,/specializations/leading-teams
Methods and Statistics in Social Sciences,4.7,250k,/specializations/social-science
Statistics with R,4.7,210k,/specializations/statistics
Geographic Information Systems  (GIS),4.8,89k,/specializations/gis
Social Psychology,4.8,130k,/learn/social-psychology
Investment Management,4.7,90k,/specializations/investment-management
Regulatory Compliance,4.8,9.6k,/specializations/regulatory-compliance
Data Structures and Algorithms,4.6,270k,/specializations/data-structures-algorithms
Advanced Machine Learning,4.5,160k,/specializations/aml
Design Thinking for Innovation,4.6,220k,/learn/uva-darden-design-thinking-innovation
Object Oriented Programming in Java,4.7,300k,/specializations/object-oriented-programming
Full-Stack Web Development with React,4.8,110k,/specializations/full-stack-react
Learning How to Learn: Powerful mental tools to help you master tough subjects,4.8,2.1m,/learn/learning-how-to-learn
Agile Development,4.7,92k,/specializations/agile-development
Financial Accounting Fundamentals,4.8,52k,/learn/uva-darden-financial-accounting
Writing in the Sciences,4.9,110k,/learn/sciwrite
The DIY Musician,4.8,110k,/specializations/diy-musician
Indigenous Canada,4.8,46k,/learn/indigenous-canada
Functional Programming in Scala,4.7,220k,/specializations/scala
(ISC)² Systems Security Certified Practitioner (SSCP),4.7,4.6k,/specializations/sscp-training
Essential Epidemiologic Tools for Public Health Practice,4.7,9.3k,/learn/epidemiology-tools
Cisco Networking Basics,4.7,51k,/specializations/networking-basics
Seeing Through Photographs,4.8,270k,/learn/photography
Business Statistics and Analysis,4.7,100k,/specializations/business-statistics-analysis
Statistics with Python,4.6,27k,/specializations/statistics-with-python
An Introduction to American Law,4.8,95k,/learn/american-law
Машинное обучение и анализ данных,4.7,74k,/specializations/machine-learning-data-analysis
Full Stack Web and Multiplatform Mobile App Development,4.8,120k,/specializations/full-stack-mobile-app-development
Modern Art & Ideas,4.7,240k,/learn/modern-art-ideas
Learn Spanish: Basic Spanish Vocabulary,4.6,63k,/specializations/learn-spanish
Python Data Structures,4.9,350k,/learn/python-data
User Experience Research and Design,4.8,18k,/specializations/michiganux
Introduction to Marketing,4.8,210k,/learn/wharton-marketing
Excel Skills for Business: Essentials,4.9,140k,/learn/excel-essentials
G Suite Administration,4.7,7.4k,/specializations/g-suite-administration
Music Production,4.8,63k,/specializations/music-production
Managing Innovation and Design Thinking,4.7,18k,/specializations/managing-innovation-design-thinking
Fundamentals of Immunology,4.7,15k,/specializations/immunology
"Brand Management: Aligning Business, Brand and Behaviour",4.9,34k,/learn/brand
Fashion as Design,4.8,110k,/learn/fashion-design
The Business of Music Production,4.8,78k,/specializations/business-music-production
Strategic Leadership and Management,4.7,89k,/specializations/strategic-leadership
Open Source tools for Data Science,4.6,98k,/learn/open-source-tools-for-data-science
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.7,130k,/learn/introduction-tensorflow
Vital Signs: Understanding What the Body Is Telling Us,4.8,170k,/learn/vital-signs
Excel/VBA for Creative Problem Solving,4.8,49k,/specializations/excel-vba-creative-problem-solving
Gamification,4.8,110k,/learn/gamification
The Art of Sales: Mastering the Selling Process,4.7,20k,/specializations/the-art-of-sales-mastering-the-selling-process
Photography Basics and Beyond: From Smartphone to DSLR,4.7,150k,/specializations/photography-basics
Blockchain Revolution,4.7,15k,/specializations/blockchain-revolution-enterprise
Big Data,4.5,180k,/specializations/big-data
Machine Learning with TensorFlow on Google Cloud Platform,4.5,65k,/specializations/machine-learning-tensorflow-gcp
The Bits and Bytes of Computer Networking,4.7,110k,/learn/computer-networking
Accelerated Computer Science Fundamentals,4.7,16k,/specializations/cs-fundamentals
Moral Foundations of Politics,4.8,85k,/learn/moral-politics
Camino a la Excelencia en Gestión de Proyectos,4.7,180k,/learn/camino-excelencia-gestion-proyectos
Private Equity and Venture Capital,4.8,70k,/learn/private-equity
Organizational Leadership,4.6,87k,/specializations/organizational-leadership
Business Strategy,4.7,83k,/specializations/business-strategy
Culture-Driven Team Building,4.6,16k,/specializations/team-building
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",4.9,250k,/learn/deep-neural-network
Electronic Music Production,4.8,100k,/specializations/electronic-music-production
Biostatistics in Public Health,4.8,11k,/specializations/biostatistics-public-health
What Is Contemporary Art?,4.6,60k,/learn/contemporary-art
Python for Data Science and AI,4.6,140k,/learn/python-for-applied-data-science-ai
Executive Data Science,4.5,160k,/specializations/executive-data-science
Anatomy,4.8,22k,/specializations/anatomy
Fundamentals of Computing,4.8,190k,/specializations/computer-fundamentals
Introduction to the Biology of Cancer,4.8,98k,/learn/cancer
Futures Thinking,4.8,7.1k,/specializations/futures-thinking
Business Strategies for A Better World,4.7,21k,/specializations/wharton-global-business-strategy
SAS Programmer,4.8,20k,/professional-certificates/sas-programming
English for Career Development,4.8,600k,/learn/careerdevelopment
Financial Engineering and Risk Management Part I,4.6,300k,/learn/financial-engineering-1
Science of Exercise,4.8,110k,/learn/science-exercise
Six Sigma Yellow Belt,4.6,29k,/specializations/six-sigma-fundamentals
Advanced Data Science with IBM,4.3,54k,/specializations/advanced-data-science-ibm
AWS Fundamentals,4.7,97k,/specializations/aws-fundamentals
Digital Product Management: Modern Fundamentals,4.7,49k,/learn/uva-darden-digital-product-management
Data Science: Statistics and Machine Learning,4.3,200k,/specializations/data-science-statistics-machine-learning
Food & Beverage Management,4.8,47k,/learn/food-beverage-management
IT Fundamentals for Cybersecurity,4.5,16k,/specializations/it-fundamentals-cybersecurity
Crash Course on Python,4.7,46k,/learn/python-crash-course
Machine Learning for Trading,3.8,12k,/specializations/machine-learning-trading
An Introduction to Programming the Internet of Things (IOT),4.6,240k,/specializations/iot
Investment Management with Python and Machine Learning,4.6,9.7k,/specializations/investment-management-python-machine-learning
Become an EMT,4.8,9.7k,/specializations/become-an-emt
Design and Interpretation of Clinical Trials,4.7,61k,/learn/clinical-trials
Self-Driving Cars,4.7,29k,/specializations/self-driving-cars
Claves de la Dirección de Empresas,4.8,48k,/specializations/direccion-empresas
Machine Learning,4.6,270k,/specializations/machine-learning
Intellectual Property Law,4.8,6.7k,/specializations/introduction-intellectual-property
Финансовые инструменты для частного инвестора,4.7,35k,/specializations/finansovyye-instrumenty
"Anatomy of the Chest, Abdomen, and Pelvis",4.8,28k,/learn/trunk-anatomy
Искусство разработки на современном C++,4.9,40k,/specializations/c-plus-plus-modern-development
TensorFlow: Data and Deployment,4.6,9k,/specializations/tensorflow-data-and-deployment
Interaction Design,4.5,150k,/specializations/interaction-design
Marketing Mix Implementation,4.6,85k,/specializations/marketing-mix
Data Science Methodology,4.6,74k,/learn/data-science-methodology
Statistical Analysis with R for Public Health,4.7,13k,/specializations/statistical-analysis-r-public-health
Business English Communication Skills,4.7,110k,/specializations/business-english
Learning to Teach Online,4.7,46k,/learn/teach-online
Medical Neuroscience,4.9,150k,/learn/medical-neuroscience
Marketing Digital,4.8,65k,/learn/estrategia-marketing-digital
Introduction to Data Science in Python,4.5,330k,/learn/python-data-analysis
Fundamentals of Quantitative Modeling,4.6,100k,/learn/wharton-quantitative-modeling
Introduction to Psychology,4.9,230k,/learn/introduction-psych
From Data to Insights with Google Cloud Platform,4.6,24k,/specializations/from-data-to-insights-google-cloud-platform
Ruby on Rails Web Development,4.8,290k,/specializations/ruby-on-rails
Introduction to Programming in C,4.6,62k,/specializations/c-programming
Introducción a la programación en Python I: Aprendiendo a programar con Python,4.5,95k,/learn/aprendiendo-programar-python
Game Theory,4.6,240k,/learn/game-theory-1
"Hotel Management: Distribution, Revenue and Demand Management",4.7,26k,/specializations/hotel-management
Addiction Treatment: Clinical Skills for Healthcare Providers,4.9,6.1k,/learn/addiction-treatment
Programming with Google Go,4.6,15k,/specializations/google-golang
Web Applications for Everybody,4.8,95k,/specializations/web-applications
Introduction to Financial Accounting,4.7,190k,/learn/wharton-accounting
Unraveling the Cycling City,4.8,3.1k,/learn/unraveling-the-cycling-city
Moralities of Everyday Life,4.8,60k,/learn/moralities
Economics of Money and Banking,4.9,75k,/learn/money-banking
Investment and Portfolio Management,4.5,44k,/specializations/investment-portolio-management
Learn English: Intermediate Grammar,4.7,110k,/specializations/intermediate-grammar
Project Launch,4.7,N / A,/learn/project-management
The Global Financial Crisis,4.8,75k,/learn/global-financial-crisis
Inspired Leadership,4.7,88k,/specializations/inspired-leadership
"Effective Communication: Writing, Design, and Presentation",4.7,85k,/specializations/effective-business-communication
Google Cloud Platform Fundamentals: Core Infrastructure,4.7,250k,/learn/gcp-fundamentals
Bioinformatics,4.6,53k,/specializations/bioinformatics
Using Python to Access Web Data,4.8,270k,/learn/python-network-data
Customer Analytics,4.6,160k,/learn/wharton-customer-analytics
Blockchain,4.6,52k,/specializations/blockchain
Étudier en France: French Intermediate course B1-B2,4.8,150k,/learn/etudier-en-france
Child Nutrition and Cooking,4.7,360k,/learn/childnutrition
Initiating and Planning Projects,4.7,160k,/learn/project-planning
AWS Fundamentals: Going Cloud-Native,4.7,81k,/learn/aws-fundamentals-going-cloud-native
Financial Technology (Fintech) Innovations,4.7,3k,/specializations/financialtechnology
Trading Strategies in Emerging Markets,4.3,57k,/specializations/trading-strategy
Introduction to Discrete Mathematics for Computer Science,4.5,65k,/specializations/discrete-mathematics
Financial Management,4.7,67k,/specializations/financial-management
Site Reliability Engineering: Measuring and Managing Reliability,4.4,14k,/learn/site-reliability-engineering-slos
Fundamentals of Graphic Design,4.8,260k,/learn/fundamentals-of-graphic-design
Marketing Analytics,4.6,120k,/learn/uva-darden-market-analytics
Music Business,4.8,38k,/specializations/music-business
Computational Thinking for Problem Solving,4.8,27k,/learn/computational-thinking-problem-solving
Six Sigma Green Belt,4.7,14k,/specializations/six-sigma-green-belt
Structuring Machine Learning Projects,4.8,200k,/learn/machine-learning-projects
Dynamic Public Speaking,4.7,94k,/specializations/public-speaking
Introduction to Cyber Security,4.7,27k,/specializations/intro-cyber-security
Mathematics for Machine Learning: Linear Algebra,4.7,120k,/learn/linear-algebra-machine-learning
Autism Spectrum Disorder,4.6,49k,/learn/autism-spectrum-disorder
Entrepreneurship 1: Developing the Opportunity,4.8,79k,/learn/wharton-entrepreneurship-opportunity
The Data Scientist’s Toolbox,4.6,380k,/learn/data-scientists-tools
Software Design and Architecture,4.6,54k,/specializations/software-design-architecture
Global Diplomacy – Diplomacy in the Modern World,4.6,70k,/learn/global-diplomacy
International Women's Health and Human Rights,4.8,27k,/learn/womens-health-human-rights
Devenir entrepreneur du changement,4.7,51k,/learn/entrepreneur-changement
Convolutional Neural Networks in TensorFlow,4.7,39k,/learn/convolutional-neural-networks-tensorflow
Contabilidad para no contadores,4.7,200k,/learn/contabilidad
Strategic Management and Innovation,4.7,64k,/specializations/strategic-management
Convolutional Neural Networks,4.9,220k,/learn/convolutional-neural-networks
Nutrición y obesidad: control de sobrepeso,4.8,74k,/learn/nutricion-obesidad-sobrepeso
Practical Data Science with MATLAB,4.8,6.4k,/specializations/practical-data-science-matlab
Developing Your Musicianship,4.8,49k,/specializations/musicianship-specialization
Positive Psychiatry and Mental Health,4.8,54k,/learn/positive-psychiatry
Engineering Project Management,4.7,21k,/specializations/engineering-project-management
First Step Korean,4.8,290k,/learn/learn-korean
Программирование на Python,4.6,49k,/specializations/programming-in-python
Introduction to Systematic Review and Meta-Analysis,4.8,61k,/learn/systematic-review
The Strategy of Content Marketing,4.5,64k,/learn/content-marketing
Understanding the Brain: The Neurobiology of Everyday Life,4.9,110k,/learn/neurobiology
Pricing Strategy Optimization,4.8,18k,/specializations/uva-darden-bcg-pricing-strategy
Introduction to Classical Music,4.9,130k,/learn/introclassicalmusic
English for Business and Entrepreneurship,4.8,200k,/learn/business
Databases and SQL for Data Science,4.7,97k,/learn/sql-data-science
Habilidades Gerenciales,4.7,39k,/specializations/habilidades
Game Design and Development,4.7,95k,/specializations/game-development
Greek and Roman Mythology,4.8,130k,/learn/mythology
Essentials in Clinical Simulations Across the Health Professions,4.8,3k,/learn/clinicalsimulations
Animal Behaviour and Welfare,4.8,61k,/learn/animal-welfare
Learn Chinese: HSK Test Preparation,4.7,34k,/specializations/hsk-learn-chinese
Marketing Strategy,4.3,49k,/specializations/marketing-strategy
Introduction to Scripting in Python,4.7,40k,/specializations/introduction-scripting-in-python
Foundations of Global Health,4.7,29k,/specializations/global-health
Introduction to Computer Science and Programming,4.4,27k,/specializations/introduction-computer-science-programming
Modern Big Data Analysis with SQL,4.8,9.9k,/specializations/cloudera-big-data-analysis-sql
Sports Marketing,4.8,7.9k,/learn/sports-marketing
Forensic Accounting and Fraud Examination,4.7,35k,/learn/forensic-accounting
Sustainable Fashion,4.9,6.4k,/learn/sustainable-fashion
Data Analysis with Python,4.7,88k,/learn/data-analysis-with-python
"TESOL Certificate, Part 2: Teach English Now!",4.9,59k,/specializations/tesol-certificate-2
Positive Psychology: Martin E. P. Seligman’s Visionary Science,4.8,46k,/learn/positive-psychology-visionary-science
Object Oriented Java Programming: Data Structures and Beyond,4.7,240k,/specializations/java-object-oriented
Gestión Empresarial Exitosa para Pymes,4.8,150k,/learn/gestionempresarialpyme
Branding: The Creative Journey,4.5,22k,/specializations/branding-the-creative-journey
Finance for Non-Finance Professionals,4.8,62k,/learn/finance-for-non-finance
The Power of Macroeconomics: Economic Principles in the Real World,4.6,170k,/learn/principles-of-macroeconomics
Python Basics,4.8,72k,/learn/python-basics
Chinese for Beginners,4.7,630k,/learn/learn-chinese
Agile with Atlassian Jira,4.7,33k,/learn/agile-atlassian-jira
Machine Learning with Python,4.7,100k,/learn/machine-learning-with-python
Data Warehousing for Business Intelligence,4.5,130k,/specializations/data-warehousing
Probabilistic Graphical Models,4.6,69k,/specializations/probabilistic-graphical-models
Natural Language Processing in TensorFlow,4.6,31k,/learn/natural-language-processing-tensorflow
Introduction to Philosophy,4.6,340k,/learn/philosophy
"Negotiation, Mediation and Conflict Resolution",4.7,19k,/specializations/negotiation-mediation-conflict-resolution
Excel Skills for Business: Intermediate I,4.9,56k,/learn/excel-intermediate-1
Integrative Health and Medicine,4.7,10k,/specializations/integrative-health-and-medicine
CAD and Digital Manufacturing,4.7,22k,/specializations/cad-design-digital-manufacturing
Positive Psychology,4.7,170k,/learn/positive-psychology
Organizational Analysis,4.7,55k,/learn/organizational-analysis
Introduction to Dental Medicine,4.8,21k,/learn/dental-medicine-penn
"Influencing: Storytelling, Change Management and Governance",4.8,17k,/specializations/influencing-storytelling-change-management
Wine Tasting: Sensory Techniques for Wine Analysis,4.7,26k,/learn/wine
Health Informatics,4.5,5.6k,/specializations/health-informatics
Advanced Business Analytics,4.5,53k,/specializations/data-analytics-business
Write Professional Emails in English,4.7,200k,/learn/professional-emails-english
Russian for beginners А1. Русский язык: A1,4.5,3.8k,/specializations/russian-for-beginners-a1
Revisão Sistemática e Meta-análise,4.8,11k,/learn/revisao-sistematica
Inspirational Leadership: Leading with Sense,4.5,68k,/specializations/inspirational-leadership
Developing APIs with Google Cloud's Apigee API Platform,4.6,15k,/specializations/apigee-api-gcp
Epidemiology for Public Health,4.7,4.9k,/specializations/public-health-epidemiology
English for Journalism,4.8,120k,/learn/journalism
Equine Welfare and Management,4.8,5.9k,/learn/equine
An Introduction to Consumer Neuroscience & Neuromarketing,4.7,61k,/learn/neuromarketing
"The Modern World, Part One: Global History from 1760 to 1910",4.8,120k,/learn/modern-world
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.8,22k,/learn/advanced-valuation-and-strategy
Terrorism and Counterterrorism: Comparing Theory and Practice,4.8,87k,/learn/terrorism
Farmacología para odontólogos,4.7,16k,/learn/farmaco-odontologos
Operating Systems and You: Becoming a Power User,4.6,63k,/learn/os-power-user
Arts and Heritage Management,4.8,13k,/learn/arts-heritage
U.S. Federal Taxation,4.8,11k,/specializations/united-states-federal-taxation
Construction Project Management,4.8,38k,/learn/construction-project-management
Supply Chain Principles,4.6,23k,/learn/supply-chain-principles
Digital Manufacturing & Design Technology,4.5,26k,/specializations/digital-manufacturing-design-technology
Visual Elements of User Interface Design,4.8,42k,/learn/visual-elements-user-interface-design
"Modern Robotics:  Mechanics, Planning, and Control",4.7,19k,/specializations/modernrobotics
Coaching Skills for Managers,4.7,34k,/specializations/coaching-skills-manager
Essentials of Global Health,4.8,21k,/learn/essentials-global-health
Introductory Human Physiology,4.7,240k,/learn/physiology
International Leadership and Organizational Behavior,4.8,34k,/learn/organizational-behavior
Digital Advertising Strategy,4.3,4.5k,/specializations/digital-advertising-strategy
SQL for Data Science,4.6,140k,/learn/sql-for-data-science
R Programming,4.6,450k,/learn/r-programming
Game Design: Art and Concepts,4.6,78k,/specializations/game-design
Understanding Clinical Research: Behind the Statistics,4.8,71k,/learn/clinical-research
C# Programming for Unity Game Development,4.7,29k,/specializations/programming-unity-game-development
Foundations of Management,4.8,57k,/specializations/foundations-management
American Contract Law I,4.9,15k,/learn/contracts-1
Introduction to Breast Cancer,4.9,24k,/learn/breast-cancer-causes-prevention
Troubles du spectre de l'autisme : diagnostic,4.9,4k,/learn/troubles-spectre-autisme-diagnostic
Advanced Machine Learning with TensorFlow on Google Cloud Platform,4.5,28k,/specializations/advanced-machine-learning-tensorflow-gcp
Everyday Parenting: The ABCs of Child Rearing,4.9,74k,/learn/everyday-parenting
"GIS, Mapping, and Spatial Analysis",4.8,9.1k,/specializations/gis-mapping-spatial-analysis
Introduction to Corporate Finance,4.6,120k,/learn/wharton-finance
Marketing Gerencial,4.8,44k,/learn/marketing-gerencial
International Organizations Management,4.8,16k,/learn/international-organizations-management
Introduction to Sustainability,4.8,54k,/learn/sustainability
Marketing in a Digital World,4.7,270k,/learn/marketing-digital
IBM AI Enterprise Workflow,4.5,2.7k,/specializations/ibm-ai-workflow
A Law Student's Toolkit,4.7,84k,/learn/law-student
