Course Title,Course Rating,Course Enrollment,Course URL
Entrepreneurial Finance: Strategy and Innovation,4.4,4.6k,/specializations/entrepreneurial-finance
Supporting children with difficulties in reading and writing,4.8,44k,/learn/dyslexia-difficulties
Cybersecurity,4.5,96k,/specializations/cyber-security
Robotics,4.4,110k,/specializations/robotics
Sequence Models,4.8,170k,/learn/nlp-sequence-models
Data Mining,4.4,130k,/specializations/data-mining
Memoir and Personal Essay: Write About Yourself,4.4,10k,/specializations/memoir-personal-essay
Learn to Program: The Fundamentals,4.8,160k,/learn/learn-to-program
Fundamentos de Finanzas Empresariales,4.8,100k,/learn/finanzas-empresariales
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",4.8,20k,/learn/global-sustainable-development
Digital Transformation in Financial Services,4.4,19k,/specializations/digital-transformation-financial-services
Managing the Company of the Future,4.8,32k,/learn/company-future-management
Patient Safety,4.8,7.2k,/specializations/patient-safety
Social Impact Strategy: Tools for Entrepreneurs and Innovators,4.8,20k,/learn/social-impact
"Social Norms, Social Change I",4.6,73k,/learn/norms
Cryptography I,4.8,250k,/learn/crypto
Business Technology Management,4.5,47k,/specializations/business-technology-managment
Epidemiology: The Basic Science of Public Health,4.6,120k,/learn/epidemiology
"Presentation Skills: Speechwriting, Slides and Delivery",4.6,37k,/specializations/presentation-skills
Content Strategy for Professionals,4.5,26k,/specializations/content-strategy
Behavioral Finance,4.4,48k,/learn/duke-behavioral-finance
Oil & Gas Industry Operations and Markets,4.8,49k,/learn/oilandgas
Epidemics - the Dynamics of Infectious Diseases,4.7,41k,/learn/epidemics
Foundational Finance for Strategic Decision Making,4.8,9.3k,/specializations/foundational-finance
Improving Communication Skills,4.6,51k,/learn/wharton-communication-skills
Learn English: Advanced Grammar and Punctuation,4.8,44k,/specializations/advanced-grammar-punctuation
Responsive Website Development and Design,4.5,160k,/specializations/website-development
Weight Management: Beyond Balancing Calories,4.6,22k,/learn/weight-management-beyond-balancing-calories
"Programming Foundations with JavaScript, HTML and CSS",4.6,220k,/learn/duke-programming-web
Project Planning,4.7,N / A,/learn/project-planning-1
The Oral Cavity: Portal to Health and Disease,4.9,7.4k,/learn/oralcavity
Introduction to Mathematical Thinking,4.8,260k,/learn/mathematical-thinking
Business Metrics for Data-Driven Companies,4.6,150k,/learn/analytics-business-metrics
"Energy Production, Distribution & Safety",4.7,16k,/specializations/energy-industry
Cloud Computing,4.4,110k,/specializations/cloud-computing
The Manager's Toolkit: A Practical Guide to Managing People at Work,4.6,37k,/learn/people-management
Clinical Terminology for International and U.S. Students,4.8,26k,/learn/clinical-terminology
Claves para Gestionar Personas,4.8,54k,/learn/gestionar-personas
Big Data – Introducción al uso práctico de datos masivos,4.5,7.5k,/specializations/big-data-introduccion
Instructional Design Foundations and Applications,4.2,9.8k,/learn/instructional-design-foundations-applications
"Sequences, Time Series and Prediction",4.6,24k,/learn/tensorflow-sequences-time-series-and-prediction
Soporte de Tecnologías de la Información de Google,4.9,6.8k,/professional-certificates/soporte-de-tecnologias-de-informacion-google
Algorithms for Battery Management Systems,4.8,10k,/specializations/algorithms-for-battery-management-systems
Основы Digital Маркетинга,4.6,17k,/specializations/fundamentals-digital-marketing
Financial Markets and Investment Strategy,4.6,51k,/specializations/investment-strategy
Introduction to English Common Law,4.8,17k,/learn/intro-common-law
"Speak English Professionally: In Person, Online & On the Phone",4.6,370k,/learn/speak-english-professionally
Introduction to Spreadsheets and Models,4.2,72k,/learn/wharton-introduction-spreadsheets-models
Innovation Management,4.6,34k,/learn/innovation-management
Réussir le Changement,4.5,31k,/learn/reussir-le-changement
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,4.6,7.5k,/learn/corp-sustainability
Using Databases with Python,4.8,200k,/learn/python-databases
Business Model Innovation,4.7,11k,/learn/business-model
Swift 5 iOS Application Developer,4.4,2.3k,/specializations/swift-5-ios-app-developer
Teamwork Skills: Communicating Effectively in Groups,4.7,21k,/learn/teamwork-skills-effective-communication
Drug Discovery,4.6,32k,/learn/drug-discovery
Introduction to HTML5,4.7,180k,/learn/html
Become a Journalist: Report the News!,4.6,25k,/specializations/become-a-journalist
In the Studio: Postwar Abstract Painting,4.9,53k,/learn/painting
Computational Social Science,4.8,2.6k,/specializations/computational-social-science-ucdavis
Rethinking International Tax Law,4.9,34k,/learn/international-taxation
Inclusión social de personas con discapacidad desde un enfoque de derechos.,3.3,6.9k,/learn/inclusion-social-personas-discapacidad
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",4.8,120k,/learn/algorithms-divide-conquer
International Humanitarian Law in Theory and Practice,4.8,19k,/learn/international-humanitarian-law
Value Chain Management,4.7,57k,/specializations/value-chain-management
Success,4.8,34k,/learn/wharton-succcess
Power Electronics,4.8,60k,/specializations/power-electronics
Fundraising and Development,4.5,4.2k,/specializations/fundraising-development
Machine Learning and Reinforcement Learning in Finance,3.7,28k,/specializations/machine-learning-reinforcement-finance
Fundamentals of Immunology: Innate Immunity and B-Cell Function,4.7,13k,/learn/immunologyfundamentalsimmunitybcells
Blockchain Revolution in Financial Services,4.4,N / A,/specializations/blockchain-financial-services
Data Visualization with Python,4.6,54k,/learn/python-for-data-visualization
Business Transformation with Google Cloud,4.7,7.7k,/learn/business-transformation-google-cloud
Marketing con Redes Sociales,4.4,57k,/specializations/marketing-redes-sociales
Understanding and Visualizing Data with Python,4.7,23k,/learn/understanding-visualization-data
Negociación exitosa: Estrategias y habilidades esenciales (en español),4.8,84k,/learn/negociacion
Climate Change and Health: From Science to Action,4.6,3.2k,/specializations/climate-change-and-health
Newborn Baby Care,4.8,3.7k,/specializations/newborn-baby-care
The Addicted Brain,4.6,120k,/learn/addiction-and-the-brain
Roman Architecture,4.9,25k,/learn/roman-architecture
Solar Energy Basics,4.7,9.4k,/learn/solar-energy-basics
Cuidados y procedimientos generales en la atención del recién nacido,4.7,18k,/learn/cuidados-del-recien-nacido
"Open Source Software Development, Linux and Git",4.4,9.2k,/specializations/oss-development-linux-git
Children's Human Rights - An Interdisciplinary Introduction,4.7,32k,/learn/childrens-rights
EDIVET: Do you have what it takes to be a veterinarian?,4.7,32k,/learn/becoming-a-veterinarian
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.9,90k,/learn/build-a-computer
Drug Development,4.6,26k,/learn/drug-development
Разработка интерфейсов: вёрстка и JavaScript,4.5,28k,/specializations/razrabotka-interfeysov
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,4.8,41k,/learn/democracia
Introduction to Artificial Intelligence (AI),4.7,33k,/learn/introduction-to-ai
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,4.6,28k,/learn/investment-management
Information​ ​Systems,4.7,13k,/specializations/information-systems
Cybersecurity for Business,4.7,17k,/specializations/cyber-security-business
Mastering Software Development in R,4.3,50k,/specializations/r
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,4.8,29k,/learn/enfermedades-no-transmisibles
IBM Customer Engagement Specialist Professional Certificate,4.8,2.8k,/learn/ibm-customer-engagement-specialist
Administración de Proyectos: Principios Básicos,4.6,63k,/specializations/administracion-proyectos
Market Research,4.5,18k,/specializations/market-research
Microeconomics Principles,4.8,65k,/learn/microeconomics
Marketing Digital,4.7,36k,/specializations/marketing-digital
Data-driven Decision Making,4.6,110k,/learn/decision-making
System Administration and IT Infrastructure Services,4.7,52k,/learn/system-administration-it-infrastructure-services
"Excel/VBA for Creative Problem Solving, Part 1",4.9,48k,/learn/excel-vba-for-creative-problem-solving-part-1
Engineering Health: Introduction to Yoga and Physiology,4.8,10k,/learn/engineering-health-yoga-physiology
Competitive Strategy and Organization Design,4.7,340k,/specializations/competitive-strategy
Virtual Teacher,4.2,20k,/specializations/virtual-teacher
Fundamentals of Reinforcement Learning,4.8,18k,/learn/fundamentals-of-reinforcement-learning
Version Control with Git,4.8,36k,/learn/version-control-with-git
Machine Learning for Business Professionals,4.6,22k,/learn/machine-learning-business-professionals
The Teacher and Social and Emotional Learning (SEL),4.7,4.5k,/specializations/teacher-sel
SAS Visual Business Analytics,4.6,N / A,/professional-certificates/sas-visual-business-analytics
Healthcare Law,4.6,N / A,/specializations/healthcare-law
Introduction to Programming with MATLAB,4.8,220k,/learn/matlab
Grammar and Punctuation,4.7,400k,/learn/grammar-punctuation
Communication Strategies for a Virtual Age,4.7,19k,/learn/communication-strategies-virtual-age
Write Your First Novel,N / A,8.9k,/learn/write-your-first-novel
Python and Statistics for Financial Analysis,4.4,29k,/learn/python-statistics-financial-analysis
Learn Mandarin Chinese,4.8,33k,/specializations/learn-mandarin
"Epidemics, Pandemics and Outbreaks",4.6,15k,/learn/epidemic-pandemic-outbreak
People Analytics,4.5,79k,/learn/wharton-people-analytics
Fundamentals of GIS,4.8,79k,/learn/gis
Gestión de organizaciones efectivas,4.7,44k,/learn/gestion-organizaciones-efectivas
Making Architecture,4.7,33k,/learn/making-architecture
¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,4.7,23k,/learn/alta-direccion
Data Management for Clinical Research,4.7,38k,/learn/clinical-data-management
Dog Emotion and Cognition,4.6,130k,/learn/dog-emotion-and-cognition
Objetivos de desarrollo sostenible para América Latina y el Caribe,4.7,3.6k,/learn/objetivos-desarrollo-sostenible
Software Development Lifecycle,4.6,26k,/specializations/software-development-lifecycle
Diversity and inclusion in the workplace,4.7,8.8k,/learn/diversity-inclusion-workplace
Financial Acumen for Non-Financial Managers,4.6,7.7k,/learn/finance-healthcare-managers
Google Cloud Platform Big Data and Machine Learning Fundamentals,4.6,100k,/learn/gcp-big-data-ml-fundamentals
Circular Economy - Sustainable Materials Management,4.8,9k,/learn/circular-economy
Creative Writing: The Craft of Plot,4.7,110k,/learn/craft-of-plot
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,4.5,15k,/learn/elearning
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,4.8,170k,/learn/mindshift
Continuous Delivery & DevOps,4.6,21k,/learn/uva-darden-continous-delivery-devops
School Health for Children and Adolescents,4.8,6k,/specializations/school-health-for-children-and-adolescents
Healthcare Marketplace,4.4,33k,/specializations/healthcare-marketplace
Android App Development,4.5,100k,/specializations/android-app-development
Getting Started with Google Kubernetes Engine,4.5,70k,/learn/google-kubernetes-engine
Geopolítica y gobernanza global: riesgos y oportunidades,4.8,32k,/learn/geopoliticaygobernanzaglobal
COVID-19: What You Need to Know (CME Eligible),4.8,7.8k,/learn/covid-19-what-you-need-to-know
Optical Engineering,4.2,5.3k,/specializations/optical-engineering
Introduction to User Experience Design,4.5,79k,/learn/user-experience-design
What is Social?,4.6,88k,/learn/what-is-social
Fundamental Neuroscience for Neuroimaging,4.6,25k,/learn/neuroscience-neuroimaging
Leading: Human Resource Management and Leadership,4.8,11k,/specializations/hr-management-leadership
Kotlin for Java Developers,4.7,32k,/learn/kotlin-for-java-developers
Développement psychologique de l'enfant,4.8,6.7k,/learn/enfant-developpement
Global Diplomacy: the United Nations in the World,4.7,25k,/learn/global-diplomacy-un
Fundamentals of Visualization with Tableau,4.5,72k,/learn/data-visualization-tableau
Introduction to International Criminal Law,4.8,74k,/learn/international-criminal-law
Project Practicum with Multiple Projects,4.7,N / A,/learn/project-practicum-with-multiple-projects
Microeconomics: The Power of Markets,4.7,31k,/learn/microeconomics-part1
Nutrition and Lifestyle in Pregnancy,4.8,30k,/learn/nutrition-pregnancy
Foundations of Public Health Practice,4.7,1.6k,/specializations/foundations-public-health-practice
Wind Energy,4.7,55k,/learn/wind-energy
Virtual Reality,4.6,20k,/specializations/virtual-reality
Les Fondamentaux de la Négociation,4.7,8.6k,/learn/fondamentaux-negociation
Operations Analytics,4.7,76k,/learn/wharton-operations-analytics
Managerial Economics and Business Analysis,4.7,47k,/specializations/managerial-economics-business-analysis
Introduction to Probability and Data,4.7,150k,/learn/probability-intro
Survey Data Collection and Analytics,4.3,43k,/specializations/data-collection
Systems Biology and Biotechnology,4.4,45k,/specializations/systems-biology
Object-Oriented Data Structures in C++,4.8,15k,/learn/cs-fundamentals-1
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",4.6,23k,/learn/competencias-digitales-ofimatica
Finanzas personales,4.7,290k,/learn/finanzas-personales
Introduction to Search Engine Optimization,4.6,82k,/learn/search-engine-optimization
Introduction to Ancient Egypt and Its Civilization,4.6,73k,/learn/introancientegypt
Introduction to Calculus,4.8,36k,/learn/introduction-to-calculus
Public Policy Challenges of the 21st Century,4.6,49k,/learn/public-policy
Financing and Investing in Infrastructure,4.8,22k,/learn/infrastructure-investing
Understanding International Relations Theory,4.7,22k,/learn/international-relations-theory
Entrepreneurship 2: Launching your Start-Up,4.8,35k,/learn/wharton-launching-startup
Greening the Economy: Sustainable Cities,4.6,50k,/learn/gte-sustainable-cities
Administração Financeira,4.8,18k,/learn/administracao-financeira
Explorando la Energía Sustentable,4.8,25k,/learn/explorando-energia-sustentable
Preparing to Manage Human Resources,4.8,57k,/learn/managing-human-resources
Costos para los Negocios,4.8,39k,/learn/costosparanegocios
IBM z/OS Mainframe Practitioner,4.8,1.9k,/professional-certificates/ibm-z-mainframe
Fundamentals of Accounting,4.6,36k,/specializations/accounting-fundamentals
"FinTech: Foundations, Payments, and Regulations",4.7,9.8k,/learn/wharton-fintech-overview-payments-regulations
Biology Meets Programming: Bioinformatics for Beginners,4.4,81k,/learn/bioinformatics
Recommender Systems,4.3,28k,/specializations/recommender-systems
"Parallel, Concurrent, and Distributed Programming in Java",4.5,28k,/specializations/pcdp
Arts and Culture Strategy,4.6,14k,/learn/arts-culture-strategy
Information Visualization,4.6,9.1k,/specializations/information-visualization
Finanzas corporativas,4.6,27k,/specializations/finanzascorporativas
Leadership in 21st Century Organizations,4.8,30k,/learn/leadership-21st-century
Dino 101: Dinosaur Paleobiology,4.9,28k,/learn/dino101
Inspiring and Motivating Individuals,4.8,76k,/learn/motivate-people-teams
Introduction to Operations Management,4.5,83k,/learn/wharton-operations
Medical Cannabis: The Health Effects of THC and CBD,4.8,3.8k,/specializations/health-effects-cannabis-thc-cbd
Understanding Financial Markets,4.7,70k,/learn/understanding-financial-markets
Bayesian Statistics: From Concept to Data Analysis,4.6,85k,/learn/bayesian-statistics
The Arts and Science of Relationships: Understanding Human Needs,4.4,48k,/learn/human-needs
Introduction to Forensic Science,4.8,39k,/learn/forensic-science
Искусство ведения бизнеса,4.5,11k,/specializations/iskusstvo-vedeniya-biznesa
Anticorrupción: Introducción a conceptos y perspectiva práctica,4.8,7.6k,/learn/anticorrupcion-introduccion
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",4.8,13k,/learn/resilience-in-children
English for Research Publication Purposes,4.6,37k,/specializations/english-for-research-publication-purposes
The Introduction to Quantum Computing,4.4,16k,/learn/quantum-computing-algorithms
IT Security: Defense against the digital dark arts,4.8,50k,/learn/it-security
Liderazgo efectivo para el siglo XXI,4.8,20k,/specializations/liderazgo-efectivo
Politics and Economics of International Energy,4.7,32k,/learn/global-energy
Supply Chain Logistics,4.7,53k,/learn/supply-chain-logistics
Understanding Research Methods,4.5,110k,/learn/research-methods
Introduction to Web Development,4.6,63k,/learn/web-development
Front-End Web UI Frameworks and Tools: Bootstrap 4,4.8,67k,/learn/bootstrap-4
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,4.6,15k,/learn/design-strategy
Implementing RPA with Cognitive Automation and Analytics,4.5,N / A,/specializations/rpa-cognitive-analytics
Art & Activity: Interactive Strategies for Engaging with Art,4.8,71k,/learn/art-activity
Ancient Philosophy: Plato & His Predecessors,4.8,68k,/learn/plato
Conflict Management,4.2,63k,/specializations/conflict-management
Spanish Vocabulary: Meeting People,4.6,56k,/learn/spanish-vocabulary-meeting-people
Building Scalable Java Microservices with Spring Boot and Spring Cloud,4.3,20k,/learn/google-cloud-java-spring
How Things Work: An Introduction to Physics,4.8,150k,/learn/how-things-work
International Law in Action: the Arbitration of International Disputes,4.8,14k,/learn/arbitration-international-disputes
Strategic Business Analytics,4.3,57k,/specializations/strategic-analytics
Understanding Einstein: The Special Theory of Relativity,4.9,83k,/learn/einstein-relativity
How to Start Your Own Business,4.1,31k,/specializations/start-your-own-business
Egiptología (Egyptology),4.9,42k,/learn/egypt
Positive Psychology: Resilience Skills,4.9,35k,/learn/positive-psychology-resilience
FinTech Law and Policy,4.8,8.2k,/learn/fintechlawandpolicy
Hacia una práctica constructivista en el aula,4.8,59k,/learn/aulaconstructivista
Getting Started with SAS Programming,4.9,19k,/learn/sas-programming-basics
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",4.8,38k,/learn/transmedia-storytelling
Fundamentos Empresariales,4.6,24k,/specializations/wharton-fundamentos-empresariales
Business English for Non-Native Speakers,4.5,100k,/specializations/business-english-speakers
Java Programming: Solving Problems with Software,4.6,140k,/learn/java-programming
Interviewing and Resume Writing in English,4.7,64k,/specializations/english-interview-resume
International Security Management,4.4,N / A,/learn/international-security-management
"Competencias Laborales: Perfiles, Evaluación y Capacitación.",4.3,21k,/learn/competencias-lab
Fundamentals of Engineering Exam Review,4.7,43k,/learn/fe-exam
"Introduction to Trading, Machine Learning & GCP",3.9,11k,/learn/introduction-trading-machine-learning-gcp
Essentials of Corporate Finance,4.6,52k,/specializations/learn-finance
Design: Creation of Artifacts in Society,4.7,31k,/learn/design
Introducción a Data Science: Programación Estadística con R,4.7,130k,/learn/intro-data-science-programacion-estadistica-r
Art & Ideas: Teaching with Themes,4.8,21k,/learn/ideas
Getting Started With Music Theory,4.5,48k,/learn/music-theory
Graphic Design Elements for Non-Designers,4.6,6.2k,/specializations/graphic-design-elements-non-designers
Data Science Math Skills,4.5,100k,/learn/datasciencemathskills
Miracles of Human Language: An Introduction to Linguistics,4.7,110k,/learn/human-language
Global Disease Masterclass,4.7,N / A,/specializations/gmph-global-disease-masterclass
Hacking Exercise For Health. The surprising new science of fitness.,4.7,21k,/learn/hacking-exercise-health
Supply Chain Finance and Blockchain Technology,4.5,4.2k,/specializations/supply-chain-finance-and-blockchain-technology
Model Thinking,4.8,120k,/learn/model-thinking
Biohacking Your Brain's Health,4.6,27k,/learn/biohacking-your-brains-health
Mountains 101,4.9,36k,/learn/mountains-101
"Applied Plotting, Charting & Data Representation in Python",4.5,88k,/learn/python-plotting
Drug Commercialization,4.7,15k,/learn/drug-commercialization
Getting Started with Google Sheets,4.6,12k,/learn/getting-started-with-google-sheets
Budgeting and Scheduling Projects,4.7,79k,/learn/schedule-projects
Antibiotic Stewardship,4.6,8.5k,/learn/antibiotic-stewardship
User Interface Design,4.6,40k,/specializations/user-interface-design
A Life of Happiness and Fulfillment,4.8,290k,/learn/happiness
De-Mystifying Mindfulness,4.8,140k,/learn/mindfulness
Introduction to Genetics and Evolution,4.8,68k,/learn/genetics-evolution
Embedding Sensors and Motors,4.6,15k,/specializations/embedding-sensors-motors
Driving business towards the Sustainable Development Goals,4.8,4k,/learn/sdgbusiness
Business English,4.7,33k,/specializations/english-for-business
Mathematics for Machine Learning: Multivariate Calculus,4.7,45k,/learn/multivariate-calculus-machine-learning
Data and Health Indicators in Public Health Practice,4.7,17k,/learn/data-public-health
Actualización en el manejo del paciente con diabetes mellitus tipo 2,4.8,17k,/learn/actualizacion-manejo-diabetes-tipo-2
Sport Sponsorship. Let them Play,4.4,6.7k,/learn/sport-sponsorship
Managerial Accounting Fundamentals,4.9,9.3k,/learn/uva-darden-managerial-accounting
Sports and Society,4.8,14k,/learn/sports-society
Plant Bioinformatic Methods,4.7,81k,/specializations/plant-bioinformatic-methods
Excel Skills for Business: Intermediate II,4.8,29k,/learn/excel-intermediate-2
Teach English Now! Foundational Principles,4.9,77k,/learn/english-principles
Leading Healthcare Quality and Safety,4.8,14k,/learn/quality-healthcare
Astronomy: Exploring Time and Space,4.8,82k,/learn/astro
Computer Security and Systems Management,4.6,22k,/specializations/computer-security-systems-management
Introduction to Engineering Mechanics,4.7,130k,/learn/engineering-mechanics-statics
Palo Alto Networks Cybersecurity,4.7,6.9k,/specializations/palo-alto-networks-cybersecurity
Social Policy for Social Services & Health Practitioners,4.9,3k,/specializations/social-welfare-policy
"Globalization, Economic Growth and Stability",4.8,42k,/specializations/globalization-economic-growth-and-stability
Personal & Family Financial Planning,4.6,60k,/learn/family-planning
Introduction to Blockchain Technologies,4.8,13k,/learn/introduction-blockchain-technologies
Intelligence Tools for the Digital Age,4.7,5.3k,/learn/intelligence-tools-digital-age
L'excellence opérationnelle en pratique,4.7,6.2k,/learn/excellence-operationnelle
Architecting with Google Cloud Platform 日本語版,4.5,3.4k,/specializations/gcp-architecture-jp
Algorithmic Toolbox,4.7,190k,/learn/algorithmic-toolbox
International Business Essentials,4.5,19k,/specializations/mba
Process Mining: Data science in Action,4.8,37k,/learn/process-mining
Estrategia de marketing,4.4,10k,/specializations/estrategia-de-marketing
The Science of Training Young Athletes,4.8,12k,/learn/youth-sports
The Science of Success: What Researchers Know that You Should Know,4.8,36k,/learn/success
Understanding Cancer Metastasis,4.8,26k,/learn/cancer-metastasis
Patrocinio Deportivo,4.6,10k,/learn/patrocinio-deportivo
Global Energy and Climate Policy,4.6,9.1k,/learn/globalenergyandclimatepolicy
Предприми себя!,4.9,23k,/learn/nudge-yourself
Anatomy: Musculoskeletal and Integumentary Systems,4.8,15k,/learn/anatomy403-1x
"Python Functions, Files, and Dictionaries",4.8,18k,/learn/python-functions-files-dictionaries
Summary Statistics in Public Health,4.8,8.7k,/learn/summary-statistics
Strategic Sales Management,4.5,7.7k,/specializations/sales-management-bridging-gap-strategy-sales
Strategy and Sustainability,4.5,9.5k,/learn/strategy-sustainability
Aprender,4.8,180k,/learn/aprendo
The Power of Microeconomics: Economic Principles in the Real World,4.6,110k,/learn/principles-of-microeconomics
Applied Data Science Capstone,4.7,34k,/learn/applied-data-science-capstone
International Law In Action: Investigating and Prosecuting International Crimes,4.8,21k,/learn/international-law-in-action-2
Global Environmental Management,4.6,19k,/learn/global-environmental-management
Healing with the Arts,4.6,28k,/learn/healing-with-the-arts
Sales Operations/Management,4.3,4.4k,/specializations/sales-operations
Learn English: Advanced Academic Speaking and Listening,4.5,72k,/specializations/speaklistenenglish
Spanish for Successful Communication in Healthcare Settings,4.8,9.4k,/learn/spanish-in-healthcare-settings
Introdução à Ciência da Computação com Python Parte 1,4.9,110k,/learn/ciencia-computacao-python-conceitos
Foundations of Marketing Analytics,4.3,25k,/specializations/marketing-analytics
Mathematics for Data Science,4.6,7.2k,/specializations/mathematics-for-data-science
Supply Chain Analytics,4.7,3.5k,/learn/supply-chain-analytics
"Capstone: Retrieving, Processing, and Visualizing Data with Python",4.6,66k,/learn/python-data-visualization
International migrations: a global issue,4.6,9.2k,/learn/international-migrations
Using Python to Interact with the Operating System,4.7,11k,/learn/python-operating-system
Agile Meets Design Thinking,4.7,62k,/learn/uva-darden-getting-started-agile
Access Controls,4.6,2.5k,/learn/access-control-sscp
Introduction to Electronics,4.7,99k,/learn/electronics
Customer Segmentation and Prospecting,4.8,16k,/learn/customer-segmentation-prospecting
What is Compliance?,4.9,4.9k,/learn/what-is-compliance
Learn to Speak Korean 1,4.9,86k,/learn/learn-speak-korean1
Implant Dentistry,4.9,25k,/learn/implant-dentistry
Essential Google Cloud Infrastructure: Foundation,4.7,72k,/learn/gcp-infrastructure-foundation
Design Thinking for the Greater Good: Innovation in the Social Sector,4.6,14k,/learn/uva-darden-design-thinking-social-sector
Functional Programming Principles in Scala,4.8,170k,/learn/progfun1
Introduction to Systems Engineering,4.7,31k,/learn/systems-engineering
Marketing Verde,4.8,54k,/learn/marketing-verde
Econometrics: Methods and Applications,4.6,110k,/learn/erasmus-econometrics
Getting Started with AWS Machine Learning,4.4,41k,/learn/aws-machine-learning
Claves para la innovación en la docencia universitaria,4.8,4k,/learn/innovacion-docencia-universitaria
